School_ID,Long_Name,Primary_Category,School_Latitude,School_Longitude,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,SAT_Grade_11_Score_School_Avg,Transition_Gap,geometry,GEOID,NAME,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate,disadvantage_score
400106,Noble - John and Eunice Johnson College Prep,HS,41.778369,-87.635117,79.2,77.7,809,1.5,POINT (-87.635117 41.778369),17031680900,Census Tract 6809; Cook County; Illinois,0.3629943502824859,10.036531326293892,0.335191637630662,0.3438395415472779,0.4869141813755325,4.1488401565337885
400104,Instituto Health Sciences Career Academy,HS,41.845967,-87.68724,84.2,29.0,813,55.2,POINT (-87.68724 41.845967),17031841300,Census Tract 8413; Cook County; Illinois,0.1108277301182471,11.28657678270707,0.0695839311334289,0.1644120707596253,0.2261904761904762,-0.8591425242851723
400097,Noble - Chicago Bulls College Prep,HS,41.878809,-87.678195,93.6,78.0,873,15.599999999999994,POINT (-87.678195 41.878809),17031838000,Census Tract 8380; Cook County; Illinois,0.3332085361287907,10.191407096789248,0.2072874493927125,0.3290441176470588,0.4492890995260663,2.9356585794207013
400098,Noble - Muchin College Prep,HS,41.88274,-87.626338,93.1,68.1,896,25.0,POINT (-87.626338 41.88274),17031320100,,,,,,,
400094,EPIC Academy Charter High School,HS,41.744849,-87.550222,65.0,41.7,808,23.299999999999997,POINT (-87.550222 41.744849),17031460100,Census Tract 4601; Cook County; Illinois,0.2976329064804036,10.774571691572204,0.181890389197776,0.3969465648854962,0.5233082706766917,2.414967972098961
400091,Chicago Technology Academy High School,HS,41.863301,-87.659095,89.1,50.0,772,39.099999999999994,POINT (-87.659095 41.863301),17031842900,Census Tract 8429; Cook County; Illinois,0.6097636815920398,9.868067607304868,0.1352177234530175,0.6060126582278481,0.608767576509512,5.095344379549391
400086,Urban Prep Academy for Young Men - Englewood,HS,41.781498,-87.634357,78.2,62.5,792,15.700000000000005,POINT (-87.634357 41.781498),17031834600,Census Tract 8346; Cook County; Illinois,0.3983561643835616,10.177476297855906,0.2429447852760736,0.5191082802547771,0.6774193548387096,4.469832158604786
400085,Acero Charter Schools - Major Hector P. Garcia MD,HS,41.809171,-87.730467,95.5,59.1,845,36.4,POINT (-87.730467 41.809171),17031570200,,,,,,,
400077,University of Chicago - Woodlawn,HS,41.77813,-87.598114,86.7,78.3,827,8.400000000000006,POINT (-87.598114 41.77813),17031834400,Census Tract 8344; Cook County; Illinois,0.1958714520290874,10.427268887462334,0.1385593220338983,0.2037422037422037,0.5192307692307693,1.435681807033527
400066,Perspectives - Math and Science Academy,HS,41.827784,-87.624788,69.9,46.6,761,23.300000000000004,POINT (-87.624788 41.827784),17031351400,,,,,,,
400064,Perspectives - Rodney D. Joslin,HS,41.855999,-87.628531,86.5,44.8,775,41.7,POINT (-87.628531 41.855999),17031330200,Census Tract 3302; Cook County; Illinois,0.1186696900982615,11.759785542901756,0.0358018636586562,0.1678832116788321,0.380281690140845,-1.197700451514821
400061,Perspectives - Leadership Academy,HS,41.745961,-87.652045,79.6,42.5,798,37.099999999999994,POINT (-87.652045 41.745961),17031710800,Census Tract 7108; Cook County; Illinois,0.2722663139329806,10.324202455851168,0.3014991671293726,0.5657051282051282,0.598893499308437,4.178407243592112
400062,Perspectives - High School of Technology,HS,41.745949,-87.650657,68.4,44.1,777,24.300000000000004,POINT (-87.650657 41.745949),17031710800,Census Tract 7108; Cook County; Illinois,0.2722663139329806,10.324202455851168,0.3014991671293726,0.5657051282051282,0.598893499308437,4.178407243592112
400058,North Lawndale College Prep - Christiana,HS,41.858564,-87.708987,74.2,59.0,785,15.200000000000005,POINT (-87.708987 41.858564),17031841500,Census Tract 8415; Cook County; Illinois,0.4588789942378208,10.201738576337144,0.2019230769230769,0.6968911917098446,0.7232142857142857,5.073794739740532
400057,Noble - UIC College Prep,HS,41.865817,-87.676111,88.0,72.6,881,15.400000000000006,POINT (-87.676111 41.865817),17031842900,Census Tract 8429; Cook County; Illinois,0.6097636815920398,9.868067607304868,0.1352177234530175,0.6060126582278481,0.608767576509512,5.095344379549391
400056,Noble - Rowe-Clark Math and Science Academy,HS,41.895362,-87.718047,88.9,45.8,788,43.10000000000001,POINT (-87.718047 41.895362),17031231500,Census Tract 2315; Cook County; Illinois,0.2916164572215527,10.525058169606783,0.2441154138192862,0.5007032348804501,0.5891968727789624,3.476416340897713
400054,Noble - Pritzker College Prep,HS,41.915214,-87.730127,95.3,83.6,922,11.700000000000005,POINT (-87.730127 41.915214),17031831200,Census Tract 8312; Cook County; Illinois,0.0651804670912951,10.920998239767195,0.0753398058252427,0.2549019607843137,0.4647713226205192,0.0673904125865158
400055,Noble - Rauner College Prep,HS,41.892425,-87.660859,82.9,79.7,890,3.200000000000003,POINT (-87.660859 41.892425),17031243400,Census Tract 2434; Cook County; Illinois,0.1214602524735585,11.734251365357412,0.0354260089686098,0.2380165289256198,0.3873873873873873,-0.932432507522796
400052,Noble - Gary Comer College Prep,HS,41.764083,-87.601974,81.4,62.8,803,18.60000000000001,POINT (-87.601974 41.764083),17031841800,Census Tract 8418; Cook County; Illinois,0.2916129032258064,10.72092985236768,0.2260787992495309,0.4930417495029821,0.3878504672897196,2.7707780844898324
400053,Noble - Golder College Prep,HS,41.895282,-87.664483,79.1,64.4,864,14.699999999999989,POINT (-87.664483 41.895282),17031243300,Census Tract 2433; Cook County; Illinois,0.0822757111597374,11.76271094723086,0.0280682443588332,0.040590405904059,0.3134962805526036,-1.923477942542598
400051,Noble - Noble College Prep,HS,41.900191,-87.662628,92.7,87.1,916,5.6000000000000085,POINT (-87.662628 41.900191),17031242000,Census Tract 2420; Cook County; Illinois,0.0549073438572409,11.88850164968619,0.0512187596420857,0.0360962566844919,0.1372048500319081,-2.353823628882482
400059,North Lawndale College Prep - Collins,HS,41.864146,-87.700681,80.7,51.0,778,29.700000000000003,POINT (-87.700681 41.864146),17031843100,Census Tract 8431; Cook County; Illinois,0.391304347826087,10.75062111371267,0.0659509202453987,0.5359712230215827,0.5498721227621484,2.5640339565865227
400034,CICS - Northtown,HS,41.990245,-87.726504,91.3,71.7,904,19.59999999999999,POINT (-87.726504 41.990245),17031130100,Census Tract 1301; Cook County; Illinois,0.1997016197783461,10.96937001658132,0.0405405405405405,0.1352611940298507,0.4915014164305949,0.0354676674422953
400035,Chicago Math and Science Academy Charter School,HS,42.013031,-87.674818,78.0,69.5,981,8.5,POINT (-87.674818 42.013031),17031010202,Census Tract 102.02; Cook County; Illinois,0.2375195007800312,10.980160933685484,0.089142091152815,0.1059730250481695,0.5284030010718114,0.4739498276080148
