NAME,B17001_001E,B17001_002E,B19013_001E,B23025_003E,B23025_005E,B11004_001E,B11004_010E,B11004_016E,B25070_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,state,county,tract,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate,GEOID
Census Tract 8046.07; Cook County; Illinois,7325,208,126192,3519,58,2083,26,59,569,38,32,0,64,17,031,804607,0.02839590443686007,11.745559835637772,0.01648195510088093,0.04080652904464714,0.23550087873462214,17031804607
Census Tract 8046.08; Cook County; Illinois,3634,222,120565,2176,45,1057,0,92,442,29,11,18,67,17,031,804608,0.06108970831040176,11.699944305565806,0.02068014705882353,0.08703878902554399,0.2828054298642534,17031804608
Census Tract 8046.09; Cook County; Illinois,5993,348,110833,3463,228,1603,0,160,895,132,44,72,86,17,031,804609,0.05806774570332054,11.615779842886617,0.06583886803349696,0.09981285090455397,0.37318435754189944,17031804609
Census Tract 8046.10; Cook County; Illinois,2684,263,75191,1456,34,668,0,36,298,8,15,44,36,17,031,804610,0.09798807749627422,11.227786821924543,0.023351648351648352,0.05389221556886228,0.34563758389261745,17031804610
Census Tract 8046.11; Cook County; Illinois,4225,228,85451,2406,73,1141,4,52,395,12,48,45,38,17,031,804611,0.05396449704142012,11.355698391225406,0.030340814630091438,0.049079754601226995,0.3620253164556962,17031804611
Census Tract 8047.01; Cook County; Illinois,5750,447,78522,3153,94,1484,99,201,1046,172,69,26,184,17,031,804701,0.0777391304347826,11.271134119283536,0.029812876625436094,0.20215633423180593,0.4311663479923518,17031804701
Census Tract 8047.05; Cook County; Illinois,4523,111,75563,2563,59,1137,61,170,456,22,6,48,85,17,031,804705,0.024541233694450586,11.232722024374132,0.02301989855637924,0.20316622691292877,0.3530701754385965,17031804705
Census Tract 8047.06; Cook County; Illinois,2255,29,116354,1160,75,647,8,21,21,0,0,0,4,17,031,804706,0.012860310421286032,11.664392547168285,0.06465517241379311,0.04482225656877898,0.19047619047619047,17031804706
Census Tract 8047.09; Cook County; Illinois,8235,297,93586,4718,131,2155,28,141,1472,103,70,94,337,17,031,804709,0.036065573770491806,11.446636078629007,0.027766002543450616,0.07842227378190256,0.41032608695652173,17031804709
Census Tract 8047.10; Cook County; Illinois,3836,43,95703,2309,53,1106,18,61,232,14,0,30,20,17,031,804710,0.011209593326381648,11.469004924912092,0.022953659592897357,0.07142857142857142,0.27586206896551724,17031804710
Census Tract 8047.11; Cook County; Illinois,8272,684,83787,4290,247,1949,85,240,1211,18,70,186,230,17,031,804711,0.08268858800773694,11.336033143171159,0.05757575757575758,0.1667521806054387,0.4161849710982659,17031804711
Census Tract 8047.12; Cook County; Illinois,5431,236,95590,2793,126,1490,81,226,645,90,28,100,63,17,031,804712,0.043454244153931135,11.467823491057809,0.045112781954887216,0.20604026845637585,0.4356589147286822,17031804712
Census Tract 8047.13; Cook County; Illinois,5097,174,97781,3168,116,1201,0,98,1520,213,115,24,160,17,031,804713,0.034137728075338436,11.490485563120636,0.036616161616161616,0.08159866777685262,0.3368421052631579,17031804713
Census Tract 8047.14; Cook County; Illinois,3269,202,104286,2011,98,968,34,115,295,0,7,20,48,17,031,804714,0.061792597124502906,11.554892403791534,0.048731974142217804,0.15392561983471073,0.2542372881355932,17031804714
Census Tract 8047.15; Cook County; Illinois,3777,650,62183,2031,132,899,46,110,502,49,18,71,129,17,031,804715,0.17209425469949696,11.037836929473661,0.06499261447562776,0.1735261401557286,0.5318725099601593,17031804715
Census Tract 8047.16; Cook County; Illinois,4599,176,112725,2592,104,1234,0,65,250,12,0,31,36,17,031,804716,0.03826918895412046,11.632706503289285,0.040123456790123455,0.0526742301458671,0.316,17031804716
Census Tract 8048.03; Cook County; Illinois,5381,528,88412,2755,148,1469,52,143,772,34,0,15,221,17,031,804803,0.09812302545995168,11.389762986019333,0.05372050816696915,0.13274336283185842,0.34974093264248707,17031804803
Census Tract 8048.04; Cook County; Illinois,5744,826,70750,3251,64,1400,20,136,915,26,32,54,138,17,031,804804,0.14380222841225626,11.166907815505484,0.01968625038449708,0.11142857142857143,0.273224043715847,17031804804
Census Tract 8048.05; Cook County; Illinois,6820,510,110636,3716,128,1833,0,61,362,66,0,29,115,17,031,804805,0.0747800586510264,11.614000812395144,0.03444564047362755,0.033278777959629025,0.580110497237569,17031804805
Census Tract 8048.06; Cook County; Illinois,3765,483,91875,1898,112,858,67,117,176,0,18,18,43,17,031,804806,0.12828685258964143,11.428184236515138,0.059009483667017915,0.21445221445221446,0.44886363636363635,17031804806
Census Tract 8048.07; Cook County; Illinois,5277,327,98906,2876,87,1364,26,41,294,14,0,9,26,17,031,804807,0.06196702671972712,11.501925183111362,0.030250347705146036,0.04912023460410557,0.16666666666666666,17031804807
Census Tract 8048.08; Cook County; Illinois,2768,175,133125,1497,63,805,0,15,27,0,0,0,0,17,031,804808,0.06322254335260116,11.799043815445827,0.04208416833667335,0.018633540372670808,0.0,17031804808
Census Tract 8048.09; Cook County; Illinois,4704,343,110219,2385,80,1164,16,61,150,0,0,0,22,17,031,804809,0.07291666666666667,11.610224574632504,0.033542976939203356,0.0661512027491409,0.14666666666666667,17031804809
Census Tract 8048.10; Cook County; Illinois,6377,304,83477,3638,128,1847,12,63,955,171,25,181,177,17,031,804810,0.04767131880194449,11.332326423794079,0.035184167124793844,0.040606388738494856,0.5801047120418849,17031804810
Census Tract 8049.01; Cook County; Illinois,6301,282,132232,3333,101,1781,0,152,368,25,29,0,27,17,031,804901,0.04475480082526583,11.79231323459719,0.030303030303030304,0.08534531162268388,0.22010869565217392,17031804901
Census Tract 8049.02; Cook County; Illinois,6173,191,123337,3084,133,1783,90,68,188,0,0,0,83,17,031,804902,0.03094119552891625,11.722675725240107,0.04312581063553826,0.0886146943353898,0.44148936170212766,17031804902
Census Tract 8050.01; Cook County; Illinois,4966,72,133456,2670,88,1458,0,37,121,15,0,7,25,17,031,805001,0.01449859041482078,11.801527114481393,0.03295880149812734,0.025377229080932786,0.3884297520661157,17031805001
Census Tract 8050.02; Cook County; Illinois,7349,470,71682,4078,329,1900,66,131,1600,282,137,44,303,17,031,805002,0.06395427949380868,11.179994949045279,0.08067680235409515,0.1036842105263158,0.47875,17031805002
Census Tract 8051.05; Cook County; Illinois,7301,693,76679,4224,49,1818,116,276,1278,49,25,244,131,17,031,805105,0.09491850431447747,11.24738315586432,0.011600378787878788,0.2156215621562156,0.3513302034428795,17031805105
Census Tract 8051.06; Cook County; Illinois,2856,96,77808,1532,55,799,0,20,201,0,23,0,12,17,031,805106,0.03361344537815126,11.261999532643568,0.03590078328981723,0.025031289111389236,0.17412935323383086,17031805106
Census Tract 8051.07; Cook County; Illinois,6304,939,58354,4190,135,1306,74,224,2517,122,245,189,544,17,031,805107,0.1489530456852792,10.974283187207462,0.032219570405727926,0.22817764165390506,0.43702820818434646,17031805107
Census Tract 8051.08; Cook County; Illinois,6375,385,73575,3873,103,1686,183,181,1685,137,174,197,220,17,031,805108,0.0603921568627451,11.206060573101674,0.02659437128840692,0.2158956109134045,0.4320474777448071,17031805108
Census Tract 8051.09; Cook County; Illinois,4546,226,102727,2089,51,1372,7,203,268,60,22,24,20,17,031,805109,0.049714034315882095,11.539830263019372,0.024413595021541407,0.15306122448979592,0.4701492537313433,17031805109
Census Tract 8051.10; Cook County; Illinois,4339,233,99504,2308,101,927,0,72,631,9,0,23,210,17,031,805110,0.05369900898824614,11.50795312334367,0.043760831889081454,0.07766990291262135,0.38351822503961963,17031805110
Census Tract 8051.11; Cook County; Illinois,7730,543,60470,4321,101,1901,67,162,2027,310,20,116,489,17,031,805111,0.07024579560155239,11.00990265326726,0.023374218930803055,0.12046291425565492,0.46127281697089295,17031805111
Census Tract 8051.12; Cook County; Illinois,3312,181,73859,1794,57,831,12,76,280,9,0,9,124,17,031,805112,0.05464975845410628,11.20991314918682,0.03177257525083612,0.10589651022864019,0.5071428571428571,17031805112
Census Tract 8052.01; Cook County; Illinois,3639,447,108800,1948,67,1087,0,56,151,0,22,0,88,17,031,805201,0.12283594394064304,11.59726661340398,0.034394250513347026,0.051517939282428704,0.7284768211920529,17031805201
Census Tract 8052.02; Cook County; Illinois,3865,112,97946,2256,104,1045,111,11,602,69,42,51,124,17,031,805202,0.028978007761966365,11.49217158537701,0.04609929078014184,0.11674641148325358,0.4750830564784053,17031805202
Census Tract 8053.01; Cook County; Illinois,3179,206,119196,1566,87,997,0,76,168,8,0,36,36,17,031,805301,0.06480025165146272,11.688524476003357,0.05555555555555555,0.07622868605817452,0.47619047619047616,17031805301
Census Tract 8053.02; Cook County; Illinois,3896,148,103498,1930,73,1129,0,18,46,14,0,0,6,17,031,805302,0.037987679671457907,11.547307567829359,0.03782383419689119,0.015943312666076175,0.43478260869565216,17031805302
Census Tract 8054.01; Cook County; Illinois,4618,108,109500,2666,132,1126,15,75,337,0,5,29,46,17,031,805401,0.02338674750974448,11.603679828238693,0.04951237809452363,0.07992895204262877,0.23738872403560832,17031805401
Census Tract 8054.02; Cook County; Illinois,4907,22,99271,2890,253,1287,38,13,109,0,0,0,8,17,031,805402,0.004483391073975953,11.505608763069848,0.0875432525951557,0.039627039627039624,0.07339449541284404,17031805402
Census Tract 8055.01; Cook County; Illinois,3438,225,131979,2009,72,1037,55,78,501,22,21,8,139,17,031,805501,0.06544502617801047,11.790398098003116,0.035838725734196115,0.12825458052073288,0.37924151696606784,17031805501
Census Tract 8055.02; Cook County; Illinois,4321,135,151131,2196,71,1210,23,78,244,41,0,16,50,17,031,805502,0.031242767877806065,11.92590228936223,0.03233151183970856,0.0834710743801653,0.4385245901639344,17031805502
Census Tract 8056; Cook County; Illinois,4794,49,163182,2288,37,1379,9,111,48,0,8,0,10,17,031,805600,0.010221109720483939,12.002621421311654,0.016171328671328672,0.08701957940536621,0.375,17031805600
Census Tract 8057.01; Cook County; Illinois,5361,164,157411,2759,64,1448,8,89,302,9,8,0,39,17,031,805701,0.03059130759186719,11.966615498165229,0.023196810438564697,0.06698895027624309,0.18543046357615894,17031805701
Census Tract 8057.02; Cook County; Illinois,2036,102,145250,1094,14,599,0,63,41,0,0,0,9,17,031,805702,0.05009823182711198,11.886211674714158,0.012797074954296161,0.10517529215358931,0.21951219512195122,17031805702
Census Tract 8058.01; Cook County; Illinois,2360,183,115469,1166,72,707,35,6,35,0,0,20,0,17,031,805801,0.07754237288135593,11.656757374650326,0.06174957118353345,0.05799151343705799,0.5714285714285714,17031805801
Census Tract 8058.02; Cook County; Illinois,5435,324,142031,2824,118,1457,10,165,255,10,39,0,34,17,031,805802,0.05961361545538178,11.863800622616424,0.04178470254957507,0.12010981468771448,0.3254901960784314,17031805802
Census Tract 8059.01; Cook County; Illinois,4320,327,85516,2041,81,1204,33,139,629,15,66,0,59,17,031,805901,0.07569444444444444,11.356458771920298,0.03968642822146007,0.14285714285714285,0.22257551669316375,17031805901
Census Tract 8059.02; Cook County; Illinois,6066,151,144931,3553,164,1745,98,46,333,48,0,55,57,17,031,805902,0.024892845367622814,11.88401304607546,0.04615817618913594,0.0825214899713467,0.4804804804804805,17031805902
Census Tract 8060.01; Cook County; Illinois,5742,1013,53893,3208,151,1725,0,148,1550,78,99,101,358,17,031,806001,0.17641936607453848,10.894755878333363,0.047069825436408974,0.08579710144927537,0.4103225806451613,17031806001
Census Tract 8060.02; Cook County; Illinois,6947,565,67317,3278,147,1959,80,161,842,42,92,0,273,17,031,806002,0.08133007053404347,11.117168084031912,0.0448444173276388,0.12302194997447677,0.4833729216152019,17031806002
Census Tract 8060.04; Cook County; Illinois,8419,735,64832,4338,374,2384,117,124,1467,146,310,66,390,17,031,806004,0.08730252999168547,11.079554587608355,0.08621484555094514,0.10109060402684564,0.621676891615542,17031806004
Census Tract 8060.05; Cook County; Illinois,2713,145,100375,1646,11,861,29,20,444,11,0,95,0,17,031,806005,0.05344636933284187,11.516668451249062,0.006682867557715674,0.056910569105691054,0.23873873873873874,17031806005
Census Tract 8060.06; Cook County; Illinois,4417,439,61329,2040,151,1084,65,40,418,50,17,0,172,17,031,806006,0.09938872537921667,11.024008093253117,0.07401960784313726,0.09686346863468635,0.5717703349282297,17031806006
Census Tract 8061.02; Cook County; Illinois,4219,368,108386,2333,145,1219,34,91,349,10,0,54,27,17,031,806102,0.08722446077269495,11.593454208355423,0.062151735962280324,0.10254306808859721,0.2607449856733524,17031806102
Census Tract 8061.03; Cook County; Illinois,5287,257,99701,2895,46,1456,85,92,218,17,0,57,34,17,031,806103,0.048609797616795916,11.5099309859899,0.015889464594127805,0.12156593406593406,0.4954128440366973,17031806103
Census Tract 8061.04; Cook County; Illinois,3863,891,50839,2262,288,911,98,69,1261,111,8,86,360,17,031,806104,0.2306497540771421,10.836419055558409,0.1273209549071618,0.18331503841931943,0.44805709754163364,17031806104
Census Tract 8062.01; Cook County; Illinois,5130,853,69325,2889,170,1217,58,120,625,59,0,45,66,17,031,806201,0.16627680311890838,11.14656087048398,0.058843890619591555,0.14626129827444537,0.272,17031806201
Census Tract 8062.02; Cook County; Illinois,4906,247,73491,2654,182,1130,0,24,816,73,34,50,177,17,031,806202,0.05034651447207501,11.204918228723848,0.06857573474001508,0.021238938053097345,0.40931372549019607,17031806202
Census Tract 8063; Cook County; Illinois,4422,243,102292,2420,184,1271,28,71,276,22,0,0,91,17,031,806300,0.05495251017639077,11.535586747513307,0.07603305785123966,0.07789142407553108,0.40942028985507245,17031806300
Census Tract 8064; Cook County; Illinois,2396,132,116628,1332,27,596,8,52,139,4,11,10,61,17,031,806400,0.05509181969949917,11.666744661291471,0.02027027027027027,0.10067114093959731,0.6187050359712231,17031806400
Census Tract 8065.01; Cook County; Illinois,2382,238,65750,1143,102,546,31,107,273,6,49,0,33,17,031,806501,0.09991603694374475,11.093614950040012,0.08923884514435695,0.25274725274725274,0.32234432234432236,17031806501
Census Tract 8065.02; Cook County; Illinois,3973,300,72182,2322,144,958,37,78,124,10,72,0,0,17,031,806502,0.07550969041026932,11.186945986319417,0.06201550387596899,0.12004175365344467,0.6612903225806451,17031806502
Census Tract 8066; Cook County; Illinois,3474,224,97708,1931,19,882,0,59,82,0,0,25,38,17,031,806600,0.0644789867587795,11.489738717994893,0.00983946141895391,0.06689342403628118,0.7682926829268293,17031806600
Census Tract 8067; Cook County; Illinois,4266,88,114593,2002,29,1080,0,33,38,0,0,0,0,17,031,806700,0.02062822315986873,11.64914199937276,0.014485514485514486,0.030555555555555555,0.0,17031806700
Census Tract 8068.01; Cook County; Illinois,3987,610,74004,2097,73,1009,0,130,413,66,8,7,124,17,031,806801,0.1529972410333584,11.211874424779493,0.03481163567000477,0.1288404360753221,0.4963680387409201,17031806801
Census Tract 8068.02; Cook County; Illinois,3293,85,109125,1579,43,842,11,54,303,42,40,17,34,17,031,806802,0.0258123291831157,11.600249293141903,0.027232425585813805,0.07719714964370546,0.4389438943894389,17031806802
Census Tract 8069; Cook County; Illinois,5524,513,84438,2593,214,1317,77,108,650,74,49,46,119,17,031,806900,0.09286748732802318,11.343772816224623,0.08252988816043193,0.1404707668944571,0.4430769230769231,17031806900
